Student_Name,Student_mail_id,Program,Cohort,Term,Placed_Not_Placed,CGPA,AI_Tutor_Usage,AI_Mentor_Usage,AI_TKT_Exam_Usage,JPT_Usage,Yoodli_Usage
Student_65_May-22,student65@may-22.spjain.edu,GMBA,May-22,Term 1,Placed,3.49,High,High,Low,Low,None
Student_66_May-22,student66@may-22.spjain.edu,GMBA,May-22,Term 1,Placed,3.28,Low,High,Medium,High,High
Student_67_May-22,student67@may-22.spjain.edu,GMBA,May-22,Term 2,Placed,3.8,High,Medium,High,Low,Medium
Student_68_May-22,student68@may-22.spjain.edu,GMBA,May-22,Term 2,Placed,3.59,Medium,Low,Low,None,Medium
Student_69_May-22,student69@may-22.spjain.edu,GMBA,May-22,Term 1,Not Placed,3.56,Low,None,None,None,None
Student_70_May-22,student70@may-22.spjain.edu,GMBA,May-22,Term 2,Not Placed,2.76,Low,None,High,Low,Medium
Student_71_May-22,student71@may-22.spjain.edu,GMBA,May-22,Term 2,Not Placed,3.15,None,None,Low,Low,High
Student_72_May-22,student72@may-22.spjain.edu,GMBA,May-22,Term 4,Not Placed,2.8,Low,Low,High,None,Medium
Student_73_May-22,student73@may-22.spjain.edu,GMBA,May-22,Term 1,Not Placed,3.38,Low,Low,None,High,High
Student_74_May-22,student74@may-22.spjain.edu,GMBA,May-22,Term 2,Not Placed,3.14,Medium,Low,Medium,High,Medium
Student_75_May-22,student75@may-22.spjain.edu,GMBA,May-22,Term 3,Not Placed,2.72,Low,High,High,Low,High
Student_76_May-22,student76@may-22.spjain.edu,GMBA,May-22,Term 3,Placed,3.2,Low,Medium,High,None,Low
Student_77_May-22,student77@may-22.spjain.edu,GMBA,May-22,Term 2,Placed,2.65,Low,High,None,None,Low
Student_78_May-22,student78@may-22.spjain.edu,GMBA,May-22,Term 3,Placed,2.8,None,None,High,Low,None
Student_79_May-22,student79@may-22.spjain.edu,GMBA,May-22,Term 1,Placed,3.18,Low,None,Medium,High,Low
Student_80_May-22,student80@may-22.spjain.edu,GMBA,May-22,Term 1,Placed,3.87,Low,Medium,None,High,High
Student_81_May-22,student81@may-22.spjain.edu,GMBA,May-22,Term 3,Placed,2.6,High,None,Low,Low,Low
Student_82_May-22,student82@may-22.spjain.edu,GMBA,May-22,Term 3,Not Placed,2.62,Low,None,High,None,Low
Student_83_May-22,student83@may-22.spjain.edu,GMBA,May-22,Term 4,Not Placed,3.77,High,Low,High,High,Medium
Student_84_May-22,student84@may-22.spjain.edu,GMBA,May-22,Term 1,Placed,2.71,Low,None,Medium,Medium,High
Student_85_May-22,student85@may-22.spjain.edu,GMBA,May-22,Term 2,Not Placed,3.72,High,High,Low,High,High
Student_86_May-22,student86@may-22.spjain.edu,GMBA,May-22,Term 1,Not Placed,2.61,Low,None,Low,Medium,Medium
Student_87_May-22,student87@may-22.spjain.edu,GMBA,May-22,Term 4,Placed,2.69,Medium,None,None,High,Medium
Student_88_May-22,student88@may-22.spjain.edu,GMBA,May-22,Term 4,Not Placed,3.96,Low,None,Medium,High,Low
Student_89_May-22,student89@may-22.spjain.edu,GMBA,May-22,Term 3,Placed,3.03,Medium,Medium,High,High,None
Student_90_May-22,student90@may-22.spjain.edu,GMBA,May-22,Term 1,Placed,2.52,Medium,None,None,Medium,None
Student_91_May-22,student91@may-22.spjain.edu,GMBA,May-22,Term 1,Not Placed,2.81,Low,Low,None,Medium,High
Student_92_May-22,student92@may-22.spjain.edu,GMBA,May-22,Term 2,Placed,3.88,None,None,Medium,None,Medium
Student_93_May-22,student93@may-22.spjain.edu,GMBA,May-22,Term 1,Not Placed,3.13,Low,High,Medium,None,High
Student_94_May-22,student94@may-22.spjain.edu,GMBA,May-22,Term 1,Placed,2.52,None,Medium,Low,High,None
Student_95_May-22,student95@may-22.spjain.edu,GMBA,May-22,Term 4,Not Placed,2.9,High,Low,None,Medium,Medium
Student_96_May-22,student96@may-22.spjain.edu,GMBA,May-22,Term 4,Not Placed,3.26,High,None,Low,Low,High
Student_97_May-22,student97@may-22.spjain.edu,GMBA,May-22,Term 1,Not Placed,3.6,None,Medium,Low,Medium,None
Student_98_May-22,student98@may-22.spjain.edu,GMBA,May-22,Term 2,Not Placed,3.29,None,None,High,High,Medium
Student_99_May-22,student99@may-22.spjain.edu,GMBA,May-22,Term 1,Placed,2.67,High,Low,Medium,High,High
Student_100_May-22,student100@may-22.spjain.edu,GMBA,May-22,Term 3,Placed,3.82,None,None,None,High,Medium
Student_101_May-22,student101@may-22.spjain.edu,GMBA,May-22,Term 3,Not Placed,2.81,Medium,Low,Low,Low,High
Student_102_May-22,student102@may-22.spjain.edu,GMBA,May-22,Term 1,Placed,3.25,None,Low,Medium,Medium,Low
Student_103_May-22,student103@may-22.spjain.edu,GMBA,May-22,Term 1,Placed,2.78,None,Medium,High,None,None
Student_104_May-22,student104@may-22.spjain.edu,GMBA,May-22,Term 3,Placed,2.77,Low,High,Medium,High,Low
Student_105_May-22,student105@may-22.spjain.edu,GMBA,May-22,Term 4,Placed,3.23,Medium,None,High,High,High
Student_106_May-22,student106@may-22.spjain.edu,GMBA,May-22,Term 3,Placed,3.29,Medium,Medium,High,High,Low
Student_107_May-22,student107@may-22.spjain.edu,GMBA,May-22,Term 3,Not Placed,3.24,Low,Low,None,Low,Low
Student_108_May-22,student108@may-22.spjain.edu,GMBA,May-22,Term 4,Placed,3.74,Low,Low,None,High,Low
Student_109_May-22,student109@may-22.spjain.edu,GMBA,May-22,Term 1,Placed,3.97,Medium,Medium,Low,None,High
Student_110_May-22,student110@may-22.spjain.edu,GMBA,May-22,Term 2,Not Placed,3.04,High,Medium,None,High,Low
Student_111_May-22,student111@may-22.spjain.edu,GMBA,May-22,Term 4,Placed,2.9,Low,Low,None,None,Low
Student_112_May-22,student112@may-22.spjain.edu,GMBA,May-22,Term 3,Placed,2.56,Low,High,None,None,Low
Student_1_Sep-22,student1@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Placed,3.25,Medium,None,Medium,Low,Medium
Student_2_Sep-22,student2@sep-22.spjain.edu,GMBA,Sep-22,Term 3,Not Placed,2.93,Low,High,None,High,Medium
Student_3_Sep-22,student3@sep-22.spjain.edu,GMBA,Sep-22,Term 3,Placed,2.58,Low,High,None,Low,High
Student_4_Sep-22,student4@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Not Placed,2.71,Low,Medium,High,Low,Medium
Student_5_Sep-22,student5@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Not Placed,3.38,High,Low,Medium,High,None
Student_6_Sep-22,student6@sep-22.spjain.edu,GMBA,Sep-22,Term 3,Placed,3.72,None,None,None,High,Low
Student_7_Sep-22,student7@sep-22.spjain.edu,GMBA,Sep-22,Term 3,Not Placed,2.76,None,Low,Medium,Medium,Low
Student_8_Sep-22,student8@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Not Placed,3.33,Low,Low,High,Low,None
Student_9_Sep-22,student9@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Not Placed,3.67,None,High,Medium,None,Low
Student_10_Sep-22,student10@sep-22.spjain.edu,GMBA,Sep-22,Term 3,Not Placed,3.03,None,None,None,None,High
Student_11_Sep-22,student11@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Not Placed,2.63,Medium,Low,Medium,Low,Medium
Student_12_Sep-22,student12@sep-22.spjain.edu,GMBA,Sep-22,Term 3,Placed,3.63,None,Medium,None,High,None
Student_13_Sep-22,student13@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Placed,2.63,Low,High,Low,High,Low
Student_14_Sep-22,student14@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Not Placed,3.8,High,High,Medium,Medium,None
Student_15_Sep-22,student15@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Placed,3.84,Medium,Low,Low,High,None
Student_16_Sep-22,student16@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Placed,2.6,Medium,High,High,Medium,Medium
Student_17_Sep-22,student17@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Not Placed,2.54,None,None,High,High,Low
Student_18_Sep-22,student18@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Not Placed,3.97,Medium,Low,None,High,None
Student_19_Sep-22,student19@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Placed,2.78,Medium,Medium,Medium,None,None
Student_20_Sep-22,student20@sep-22.spjain.edu,GMBA,Sep-22,Term 3,Not Placed,3.5,None,Low,Low,None,None
Student_21_Sep-22,student21@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Not Placed,3.13,None,Medium,High,Low,None
Student_22_Sep-22,student22@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Not Placed,2.52,Low,High,None,High,Low
Student_23_Sep-22,student23@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Not Placed,3.82,None,Low,High,Medium,Low
Student_24_Sep-22,student24@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Not Placed,3.85,None,High,Medium,Medium,Low
Student_25_Sep-22,student25@sep-22.spjain.edu,GMBA,Sep-22,Term 3,Not Placed,3.57,Medium,Low,Low,None,High
Student_26_Sep-22,student26@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Not Placed,3.94,Medium,Low,Medium,Low,Low
Student_27_Sep-22,student27@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Placed,2.57,Medium,Medium,High,High,None
Student_28_Sep-22,student28@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Not Placed,3.64,Medium,High,Medium,None,None
Student_29_Sep-22,student29@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Placed,3.42,High,High,High,None,Low
Student_30_Sep-22,student30@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Placed,2.98,None,None,Medium,Medium,Medium
Student_31_Sep-22,student31@sep-22.spjain.edu,GMBA,Sep-22,Term 3,Not Placed,3.16,Low,Medium,Medium,Medium,None
Student_32_Sep-22,student32@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Placed,3.37,High,Medium,High,Medium,High
Student_33_Sep-22,student33@sep-22.spjain.edu,GMBA,Sep-22,Term 3,Not Placed,3.35,High,Low,Medium,None,Medium
Student_34_Sep-22,student34@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Not Placed,3.25,Low,Medium,High,None,None
Student_35_Sep-22,student35@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Placed,3.35,Medium,Low,High,High,None
Student_36_Sep-22,student36@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Placed,3.4,Low,High,Medium,Low,Low
Student_37_Sep-22,student37@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Not Placed,2.6,Medium,Low,High,Medium,Low
Student_38_Sep-22,student38@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Placed,3.32,High,None,Low,High,High
Student_39_Sep-22,student39@sep-22.spjain.edu,GMBA,Sep-22,Term 3,Not Placed,2.89,Low,High,Medium,Medium,Low
Student_40_Sep-22,student40@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Placed,3.24,High,Low,High,None,High
Student_41_Sep-22,student41@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Placed,2.91,High,High,High,None,Medium
Student_42_Sep-22,student42@sep-22.spjain.edu,GMBA,Sep-22,Term 3,Not Placed,3.22,Medium,High,High,High,Medium
Student_43_Sep-22,student43@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Placed,3.33,High,None,None,Medium,None
Student_44_Sep-22,student44@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Placed,2.67,High,Low,Low,Medium,Low
Student_45_Sep-22,student45@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Placed,2.86,High,High,Medium,None,High
Student_46_Sep-22,student46@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Placed,3.72,High,High,Medium,None,Medium
Student_47_Sep-22,student47@sep-22.spjain.edu,GMBA,Sep-22,Term 3,Placed,2.97,Medium,Low,Medium,None,None
Student_48_Sep-22,student48@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Placed,2.61,Medium,None,Low,Medium,None
Student_49_Sep-22,student49@sep-22.spjain.edu,GMBA,Sep-22,Term 3,Not Placed,3.67,Low,Medium,Low,Low,High
Student_50_Sep-22,student50@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Not Placed,3.85,None,Low,High,Medium,Medium
Student_51_Sep-22,student51@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Not Placed,3.61,Medium,High,Low,Medium,High
Student_52_Sep-22,student52@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Not Placed,3.47,None,High,High,None,High
Student_53_Sep-22,student53@sep-22.spjain.edu,GMBA,Sep-22,Term 3,Not Placed,3.38,Low,High,High,Low,None
Student_54_Sep-22,student54@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Placed,3.79,None,None,High,Medium,Medium
Student_55_Sep-22,student55@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Placed,3.49,High,Low,High,Low,High
Student_56_Sep-22,student56@sep-22.spjain.edu,GMBA,Sep-22,Term 3,Not Placed,3.72,Medium,High,Low,None,None
Student_57_Sep-22,student57@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Placed,3.33,Low,None,None,Low,Medium
Student_58_Sep-22,student58@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Not Placed,3.62,Medium,Medium,High,Low,Low
Student_59_Sep-22,student59@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Placed,3.66,Low,Low,None,High,Low
Student_60_Sep-22,student60@sep-22.spjain.edu,GMBA,Sep-22,Term 3,Not Placed,3.49,High,High,Low,Low,Low
Student_61_Sep-22,student61@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Not Placed,3.19,None,High,None,High,Low
Student_62_Sep-22,student62@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Placed,3.11,High,Low,Low,High,None
Student_63_Sep-22,student63@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Not Placed,3.65,Low,Low,None,Medium,Medium
Student_64_Sep-22,student64@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Placed,3.81,High,Medium,High,High,Medium
Student_65_Sep-22,student65@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Not Placed,2.56,Medium,High,Low,Low,High
Student_66_Sep-22,student66@sep-22.spjain.edu,GMBA,Sep-22,Term 3,Placed,3.4,Low,High,High,None,High
Student_67_Sep-22,student67@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Placed,2.81,Low,None,High,None,Low
Student_68_Sep-22,student68@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Placed,2.99,Low,Low,None,Low,None
Student_69_Sep-22,student69@sep-22.spjain.edu,GMBA,Sep-22,Term 3,Placed,2.74,High,Low,Medium,High,High
Student_70_Sep-22,student70@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Not Placed,3.27,Low,Medium,None,High,Medium
Student_71_Sep-22,student71@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Placed,3.93,Medium,None,High,High,None
Student_72_Sep-22,student72@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Not Placed,2.9,Low,Medium,Low,Medium,Low
Student_73_Sep-22,student73@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Not Placed,2.97,High,Medium,None,None,Low
Student_74_Sep-22,student74@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Not Placed,3.34,High,Low,None,Medium,None
Student_75_Sep-22,student75@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Placed,3.35,Medium,Medium,None,Medium,Low
Student_76_Sep-22,student76@sep-22.spjain.edu,GMBA,Sep-22,Term 3,Not Placed,2.97,High,None,None,Medium,None
Student_77_Sep-22,student77@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Placed,3.81,High,Medium,High,None,Low
Student_78_Sep-22,student78@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Placed,2.69,High,None,High,Medium,High
Student_79_Sep-22,student79@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Not Placed,3.86,Low,Medium,None,Medium,Low
Student_80_Sep-22,student80@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Not Placed,3.85,Low,High,High,High,Low
Student_81_Sep-22,student81@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Not Placed,3.45,None,Low,None,Medium,Medium
Student_82_Sep-22,student82@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Placed,3.84,Low,None,None,Low,None
Student_83_Sep-22,student83@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Not Placed,3.92,High,Medium,Low,None,Low
Student_84_Sep-22,student84@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Not Placed,2.93,None,Low,Medium,Medium,High
Student_85_Sep-22,student85@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Not Placed,3.28,Low,High,Low,Low,Medium
Student_86_Sep-22,student86@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Not Placed,2.91,None,Medium,Medium,Low,Low
Student_87_Sep-22,student87@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Placed,3.5,Medium,High,Medium,Medium,High
Student_88_Sep-22,student88@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Placed,2.51,High,Low,Medium,Low,None
Student_89_Sep-22,student89@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Placed,3.75,Low,High,High,None,None
Student_90_Sep-22,student90@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Not Placed,2.63,Medium,Low,High,Low,High
Student_91_Sep-22,student91@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Placed,2.99,Low,Low,None,High,Low
Student_92_Sep-22,student92@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Not Placed,2.65,Low,Medium,High,High,Medium
Student_93_Sep-22,student93@sep-22.spjain.edu,GMBA,Sep-22,Term 2,Not Placed,3.81,Medium,Medium,Low,None,Medium
Student_94_Sep-22,student94@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Placed,3.6,Low,Medium,Medium,High,Medium
Student_95_Sep-22,student95@sep-22.spjain.edu,GMBA,Sep-22,Term 1,Not Placed,2.6,Medium,Medium,High,None,Low
Student_96_Sep-22,student96@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Placed,3.46,None,Medium,Low,Medium,Low
Student_97_Sep-22,student97@sep-22.spjain.edu,GMBA,Sep-22,Term 4,Not Placed,3.7,None,Low,None,Low,High
Student_1_Jan-23,student1@jan-23.spjain.edu,MGB,Jan-23,Term 1,Not Placed,3.13,None,Low,Medium,None,High
Student_2_Jan-23,student2@jan-23.spjain.edu,MGB,Jan-23,Term 2,Not Placed,3.93,High,Low,None,Medium,None
Student_3_Jan-23,student3@jan-23.spjain.edu,MGB,Jan-23,Term 4,Not Placed,3.53,High,Low,Low,Medium,None
Student_4_Jan-23,student4@jan-23.spjain.edu,MGB,Jan-23,Term 1,Not Placed,2.89,Low,None,None,None,None
Student_5_Jan-23,student5@jan-23.spjain.edu,MGB,Jan-23,Term 4,Not Placed,3.87,Low,None,Medium,Low,High
Student_6_Jan-23,student6@jan-23.spjain.edu,MGB,Jan-23,Term 3,Not Placed,3.11,Medium,Medium,High,Low,Medium
Student_7_Jan-23,student7@jan-23.spjain.edu,MGB,Jan-23,Term 1,Placed,3.7,High,Low,Low,High,High
Student_8_Jan-23,student8@jan-23.spjain.edu,MGB,Jan-23,Term 2,Not Placed,3.3,Medium,None,Medium,Low,Medium
Student_9_Jan-23,student9@jan-23.spjain.edu,MGB,Jan-23,Term 3,Not Placed,3.12,Medium,High,High,High,High
Student_10_Jan-23,student10@jan-23.spjain.edu,MGB,Jan-23,Term 4,Not Placed,2.56,Low,Low,High,Medium,Medium
Student_11_Jan-23,student11@jan-23.spjain.edu,MGB,Jan-23,Term 1,Not Placed,3.62,None,None,Medium,Low,High
Student_12_Jan-23,student12@jan-23.spjain.edu,MGB,Jan-23,Term 1,Placed,3.26,None,High,High,Medium,High
Student_13_Jan-23,student13@jan-23.spjain.edu,MGB,Jan-23,Term 4,Placed,3.75,Low,Low,None,High,Low
Student_14_Jan-23,student14@jan-23.spjain.edu,MGB,Jan-23,Term 3,Not Placed,2.8,Low,None,None,Low,None
Student_15_Jan-23,student15@jan-23.spjain.edu,MGB,Jan-23,Term 1,Placed,3.95,Low,None,Low,Medium,None
Student_16_Jan-23,student16@jan-23.spjain.edu,MGB,Jan-23,Term 1,Not Placed,3.59,Low,High,None,Medium,High
Student_17_Jan-23,student17@jan-23.spjain.edu,MGB,Jan-23,Term 4,Placed,3.17,None,High,Low,Low,Medium
Student_18_Jan-23,student18@jan-23.spjain.edu,MGB,Jan-23,Term 1,Placed,3.34,Medium,None,Medium,High,Medium
Student_19_Jan-23,student19@jan-23.spjain.edu,MGB,Jan-23,Term 4,Not Placed,3.29,Medium,High,None,Low,None
Student_20_Jan-23,student20@jan-23.spjain.edu,MGB,Jan-23,Term 3,Not Placed,3.75,High,Low,None,High,Low
Student_21_Jan-23,student21@jan-23.spjain.edu,MGB,Jan-23,Term 2,Not Placed,3.32,Low,Medium,Low,None,None
Student_22_Jan-23,student22@jan-23.spjain.edu,MGB,Jan-23,Term 1,Placed,3.14,High,None,Medium,High,Medium
Student_23_Jan-23,student23@jan-23.spjain.edu,MGB,Jan-23,Term 1,Placed,2.8,High,High,None,None,Medium
Student_24_Jan-23,student24@jan-23.spjain.edu,MGB,Jan-23,Term 4,Placed,3.62,None,None,High,Low,High
Student_25_Jan-23,student25@jan-23.spjain.edu,MGB,Jan-23,Term 4,Not Placed,3.58,Low,Low,Low,Medium,Medium
Student_26_Jan-23,student26@jan-23.spjain.edu,MGB,Jan-23,Term 3,Placed,3.7,Low,Low,None,None,Medium
Student_27_Jan-23,student27@jan-23.spjain.edu,MGB,Jan-23,Term 3,Placed,2.75,None,High,Low,None,Medium
Student_28_Jan-23,student28@jan-23.spjain.edu,MGB,Jan-23,Term 2,Not Placed,2.6,High,Low,Medium,Medium,High
Student_29_Jan-23,student29@jan-23.spjain.edu,MGB,Jan-23,Term 4,Not Placed,2.64,None,Medium,High,Low,Medium
Student_30_Jan-23,student30@jan-23.spjain.edu,MGB,Jan-23,Term 3,Placed,3.89,Low,Low,None,Low,Low
Student_31_Jan-23,student31@jan-23.spjain.edu,MGB,Jan-23,Term 4,Not Placed,3.34,Medium,High,Medium,High,Medium
Student_32_Jan-23,student32@jan-23.spjain.edu,MGB,Jan-23,Term 3,Placed,2.89,High,Medium,None,Low,Low
Student_33_Jan-23,student33@jan-23.spjain.edu,MGB,Jan-23,Term 4,Placed,2.75,Medium,Medium,High,Medium,Medium
Student_34_Jan-23,student34@jan-23.spjain.edu,MGB,Jan-23,Term 2,Not Placed,3.81,Low,High,High,Medium,None
Student_35_Jan-23,student35@jan-23.spjain.edu,MGB,Jan-23,Term 4,Not Placed,2.99,High,Medium,None,None,None
Student_36_Jan-23,student36@jan-23.spjain.edu,MGB,Jan-23,Term 4,Not Placed,2.97,Low,High,Medium,Medium,Low
Student_37_Jan-23,student37@jan-23.spjain.edu,MGB,Jan-23,Term 2,Not Placed,3.34,None,Low,High,None,Low
Student_38_Jan-23,student38@jan-23.spjain.edu,MGB,Jan-23,Term 2,Placed,3.8,None,Low,None,Medium,Medium
Student_39_Jan-23,student39@jan-23.spjain.edu,MGB,Jan-23,Term 4,Not Placed,2.77,High,Medium,None,Low,Medium
Student_40_Jan-23,student40@jan-23.spjain.edu,MGB,Jan-23,Term 1,Not Placed,2.99,Low,Low,High,Low,High
Student_41_Jan-23,student41@jan-23.spjain.edu,MGB,Jan-23,Term 3,Not Placed,3.1,Low,Low,High,High,None
Student_42_Jan-23,student42@jan-23.spjain.edu,MGB,Jan-23,Term 4,Not Placed,2.76,High,High,Low,High,Medium
Student_43_Jan-23,student43@jan-23.spjain.edu,MGB,Jan-23,Term 2,Placed,2.62,High,High,None,High,Low
Student_44_Jan-23,student44@jan-23.spjain.edu,MGB,Jan-23,Term 1,Not Placed,3.98,Medium,High,Low,Low,Medium
Student_45_Jan-23,student45@jan-23.spjain.edu,MGB,Jan-23,Term 3,Placed,3.91,None,None,High,High,Medium
Student_46_Jan-23,student46@jan-23.spjain.edu,MGB,Jan-23,Term 2,Not Placed,2.63,None,High,Low,Medium,None
Student_47_Jan-23,student47@jan-23.spjain.edu,MGB,Jan-23,Term 2,Placed,2.97,Low,High,Low,None,High
Student_48_Jan-23,student48@jan-23.spjain.edu,MGB,Jan-23,Term 4,Placed,2.67,High,Medium,High,Medium,Low
Student_49_Jan-23,student49@jan-23.spjain.edu,MGB,Jan-23,Term 1,Placed,3.68,Medium,Low,None,High,Medium
Student_50_Jan-23,student50@jan-23.spjain.edu,MGB,Jan-23,Term 3,Placed,3.62,Medium,Low,High,None,Low
Student_51_Jan-23,student51@jan-23.spjain.edu,MGB,Jan-23,Term 2,Not Placed,2.71,Low,None,Medium,Medium,Low
Student_52_Jan-23,student52@jan-23.spjain.edu,MGB,Jan-23,Term 2,Placed,3.97,Low,None,Low,High,None
Student_53_Jan-23,student53@jan-23.spjain.edu,MGB,Jan-23,Term 3,Not Placed,3.02,None,Medium,High,None,Medium
Student_54_Jan-23,student54@jan-23.spjain.edu,MGB,Jan-23,Term 2,Not Placed,3.02,Low,Medium,Low,Low,High
Student_55_Jan-23,student55@jan-23.spjain.edu,MGB,Jan-23,Term 2,Not Placed,2.83,Low,High,High,Medium,None
Student_56_Jan-23,student56@jan-23.spjain.edu,MGB,Jan-23,Term 2,Not Placed,3.38,Low,None,High,Low,High
Student_57_Jan-23,student57@jan-23.spjain.edu,MGB,Jan-23,Term 3,Placed,2.74,None,Low,Low,High,Medium
Student_58_Jan-23,student58@jan-23.spjain.edu,MGB,Jan-23,Term 3,Not Placed,2.74,Medium,High,None,None,None
Student_59_Jan-23,student59@jan-23.spjain.edu,MGB,Jan-23,Term 4,Not Placed,3.75,Low,Low,Low,None,None
Student_60_Jan-23,student60@jan-23.spjain.edu,MGB,Jan-23,Term 3,Placed,3.96,Medium,High,None,None,Low
Student_61_Jan-23,student61@jan-23.spjain.edu,MGB,Jan-23,Term 4,Placed,2.75,Medium,Low,Medium,Medium,Medium
Student_62_Jan-23,student62@jan-23.spjain.edu,MGB,Jan-23,Term 3,Placed,3.96,Low,Medium,Low,None,None
Student_63_Jan-23,student63@jan-23.spjain.edu,MGB,Jan-23,Term 2,Not Placed,2.5,Medium,Medium,Medium,Low,Low
Student_64_Jan-23,student64@jan-23.spjain.edu,MGB,Jan-23,Term 1,Placed,2.85,Medium,None,High,Medium,Medium
Student_65_Jan-23,student65@jan-23.spjain.edu,MGB,Jan-23,Term 3,Placed,3.22,Low,High,None,None,Medium
Student_66_Jan-23,student66@jan-23.spjain.edu,MGB,Jan-23,Term 4,Not Placed,3.75,Medium,High,None,Medium,Low
Student_67_Jan-23,student67@jan-23.spjain.edu,MGB,Jan-23,Term 2,Not Placed,3.66,Low,None,None,High,Low
Student_68_Jan-23,student68@jan-23.spjain.edu,MGB,Jan-23,Term 4,Placed,2.83,Medium,Medium,Low,Low,Low
Student_69_Jan-23,student69@jan-23.spjain.edu,MGB,Jan-23,Term 1,Not Placed,3.87,Medium,Medium,None,Medium,High
Student_70_Jan-23,student70@jan-23.spjain.edu,MGB,Jan-23,Term 2,Not Placed,3.15,Low,None,Medium,None,Medium
Student_71_Jan-23,student71@jan-23.spjain.edu,MGB,Jan-23,Term 3,Not Placed,3.08,None,High,Low,None,Medium
Student_72_Jan-23,student72@jan-23.spjain.edu,MGB,Jan-23,Term 2,Not Placed,3.52,High,None,High,Low,High
Student_73_Jan-23,student73@jan-23.spjain.edu,MGB,Jan-23,Term 4,Placed,2.74,Medium,None,None,High,None
Student_74_Jan-23,student74@jan-23.spjain.edu,MGB,Jan-23,Term 4,Not Placed,3.66,Low,None,Low,High,None
